,Location,Total cases,New cases (1 day*),New cases (last 60 days),Cases per 1M people,Deaths
0,Worldwide,114728460,No data,,14754,2548573
1,United States,28737408,57789,,87200,515710
2,India,11139516,14989,,8188,157346
3,Brazil,10646926,59925,,50379,257361
4,Russia,4220291,10441,,28759,85458
5,United Kingdom,4188400,6391,,63045,123296
6,France,3759247,22857,,56045,86764
7,Spain,3130184,0,,66458,69801
8,Italy,2955434,17063,,49058,98288
9,Turkey,2723316,11837,,32750,28706
10,Germany,2462061,6492,,29610,70926
11,Colombia,2259599,4339,,45745,59972
12,Argentina,2118676,6653,,47146,52192
13,Mexico,2097194,7913,,16568,187187
14,Poland,1719708,7936,,44809,44008
15,Iran,1648174,8495,,19779,60267
16,South Africa,1514815,856,,25773,50271
17,Ukraine,1405394,5460,,33558,27650
18,Indonesia,1347026,5712,,5047,36518
19,Peru,1338297,8492,,41651,46894
20,Czechia,1252242,12191,,117098,20701
21,Netherlands,1096433,3981,,62829,15649
22,Canada,872747,2465,,22980,22045
23,Chile,832512,2742,,43571,20684
24,Romania,808040,3950,,41640,20509
25,Portugal,805647,691,,78396,16389
26,Israel,785218,5260,,85536,5790
27,Belgium,774344,2050,,67191,22141
28,Iraq,703778,4690,,17987,13458
29,Sweden,669113,11804,,64752,12882
30,Pakistan,583916,1388,,2664,13013
31,Philippines,580442,2061,,5350,12369
32,Switzerland,558622,1130,,65058,10005
33,Bangladesh,547316,515,,3251,8423
34,Morocco,484159,393,,13503,8645
35,Serbia,466885,4157,,67045,4475
36,Austria,462769,1920,,51981,8605
37,Hungary,435689,2764,,44582,15188
38,Japan,433700,922,,3443,8005
39,Jordan,402282,5124,,37775,4756
40,United Arab Emirates,396771,2721,,40117,1253
